ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE
344		a n s	962	DESPECTIVE	Azuay	ans		a n s	ag, ash, ans		personas despreciadas	cordero1955
345		tʃ u	976	DIMINUTIVE	Azuay	zhu		tʃ u	tum			cordero1955
346		- - k - - u	17	PROGRESSIVE	Azuay	cu		k u	cu, nacu		nacu para plural	cordero1955
347		n a k - - u	17	PROGRESSIVE	Azuay	nacu		n a k u	cu, nacu		nacu para plural	cordero1955
349		t a t a	1097	RESTRICTIVE	Azuay	tata		t a t a	llata, tata		esa misma noche, ese mismo rio	cordero1955
350		tʃ a ɾ -	19	EVIDENTIAL CONJECTURAL	Azuay	char		tʃ a ɾ	char			cordero1955
351		m i	1157	EVIDENTIAL DIRECT	Azuay	mi		m i	mi			cordero1955
352		s - i	1198	EVIDENTIAL REPORTATIVE	Azuay	si		s i	si			cordero1955
353		m a	1310	FRUSTRATIVE	Azuay	ma		m a	ma		hubera llevado; aspecto verbal	cordero1955
354		p a -	1315	GENITIVE	Azuay	pa		p a	pa			cordero1955
355		i - -	1362	IMPERATIVE	Azuay	y		i	y, ychi			cordero1955
356		j tʃ i	1362	IMPERATIVE 1P	Azuay	ychi		j tʃ i	y, ychi		sg/plural	cordero1955
357		s u n + tʃ u	1386	IMPERATIVE 1P	Azuay	sunchu		s u n + tʃ u	sunchu, nacusunchi		sg/pl	cordero1955
359		ɾ i	1397	INCEPTIVE	Azuay	ri		ɾ i	ri			cordero1955
360		j a -	1419	INCHOATIVE	Azuay	ya		j a	ya			cordero1955
361		i	1362	INFINITIVE	Azuay	y		i	y			cordero1955
362		tʃ u - - -	1486	INJUNCTIVE	Azuay	chu		tʃ u	chu			cordero1955
363		w a	15	INSTRUMENTAL-COMITATIVE	Azuay	hua		w a	hua			cordero1955
364		- - - k a m a	1578	LIMITATIVE	Azuay	cama		k a m a	cama			cordero1955
365		p i	1603	LOCATIVE	Azuay	pi		p i	pi			cordero1955
366		tʃ u	1682	NEGATION	Azuay	chu		tʃ u	chu			cordero1955
367		n g a	36	NOMINALIZER NQA	Azuay	nga		n g a	nga		nominalizer nqa?	cordero1955
368		ɾ q a	1770	PAST TENSE	Azuay	rqa		ɾ q a	rqa			cordero1955
369		s q a	1800	PERFECT	Azuay	sca		s q a	sca			cordero1955
370		s q a	1800	PERFECTIVIZER	Azuay	sca		s q a	sca			cordero1955
371		k u n a	1855	PLURAL	Azuay	cuna		k u n a	cuna			cordero1955
372		- h i m	1880	POOR	Azuay	jim		h i m	jim, ajim		“pobre hombrecito”	cordero1955
373		a h i m	1880	POOR	Azuay	ajim		a h i m	jim, ajim		“pobre hombrecito”	cordero1955
374		- - j u g	1887	POSSESSIVE	Azuay	yug		j u g	yug			cordero1955
375		n g a p a	1910	POTENTIALIS	Azuay	ngapa		n g a p a	ngapa		+ kay; voy a llevar, iba a llevar (karquani)	cordero1955
376		n g a p a	1939	SUBORDINATOR	Azuay	ngapa		n g a p a	ngapa		subordination	cordero1955
377		tʃ i	766	CAUSATIVE	Azuay	chi		tʃ i	chi			cordero1955
378		n d i	2001	RELATIONAL	Azuay	ndi		n d i	ndi		cayandi: al dia siguiente (dia que tiene relación con otro)	cordero1955
379		ʎ - a	2039	RESTRICTIVE	Azuay	lla		ʎ a	lla			cordero1955
380		g t a	2110	SUBORDINATOR CONSEQUENCE	Azuay	gta		g t a	gta		limitative= bebió hasta que se emborrachó; direct consequence from main verb	cordero1955
381		s p a - - -	2113	SUBORDINATOR IDSUB	Azuay	spa		s p a	spa			cordero1955
382		o ɾ a	2141	SUBORDINATOR SAME-TIME	Azuay	hora		o ɾ a	hora	esp	prestado del castellano	cordero1955
383		g p i	26	SUBORDINATOR DIFFSUB	Azuay	gpi		g p i	gpi			cordero1955
384		n i g	2175	SURROUNDINGS	Azuay	nig		n i g	nig			cordero1955
385		p u	2201	VERBAL BENEFACTIVE	Azuay	pu		p u	pu			cordero1955
386		w a	3	1 OBJECT	Azuay	hua		w a	hua		me llevó; complemento del verbo en la primera persona	cordero1955
387		m a	4	1 OBJECT	Cacra-Hongos	ma		m a	ma			shimelman2017
388		j - k i	24	1S SUBJECT 2S OBJECT	Cacra-Hongos	yki		j k i	yki			shimelman2017
389		n tʃ i k	58	1PL POSSESSOR	Cacra-Hongos	nchik		n tʃ i k	nchik			shimelman2017
390		- - n tʃ i k	58	1PL VERBAL	Cacra-Hongos	nchik		n tʃ i k	nchik			shimelman2017
391		tʃ u + w a n	111 3	1PL VERBAL CONDITIONAL	Cacra-Hongos	chuwan		tʃ u + w a n	chuwan			shimelman2017
392		ʃ - u n - - - -	111	1PL VERBAL FUTURE	Cacra-Hongos	shun		ʃ u n	shun			shimelman2017
393		t a n t a + ø/a	155 31	1S POSSESSOR	Cacra-Hongos	tantaː		t a n t a + ø/a	tantaː			shimelman2017
394		ʃ q a + j k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Cacra-Hongos	shqayki		ʃ q a + j k i	shqayki		variation between sh and s	shimelman2017
395		k aː + ø/a	234 236	1S VERBAL	Cacra-Hongos	kaː		k aː + ø/a	kaː			shimelman2017
396		ʃ - a q	280	1S VERBAL FUTURE	Cacra-Hongos	shaq		ʃ a q	shaq			shimelman2017
397		n k i + m a n	326 40	2S CONDITIONAL	Cacra-Hongos	nki-man		n k i + m a n	waq			shimelman2017
398		ʃ - u	337	2S OBJECT	Cacra-Hongos	shu		ʃ u	shu			shimelman2017
399		j k i	348	2S POSSESSOR	Cacra-Hongos	yki		j k i	yki			shimelman2017
400		w a + n k i	3 370	2S SUBJECT 1S OBJECT	Cacra-Hongos	wanki		w a + n k i	wanki			shimelman2017
401		n - k i	370	2S VERBAL	Cacra-Hongos	nki		n k i	nki			shimelman2017
402		n q a	446	3S FUTURE	Cacra-Hongos	nqa		n q a	nqa			shimelman2017
403		n	466	3S POSSESSOR	Cacra-Hongos	n		n	n			shimelman2017
404		m a + n tʃ i k	4 486	3S SUBJECT 1PL OBJECT	Cacra-Hongos	manchik		m a + n tʃ i k	manchik			shimelman2017
405		m a + n	4 546	3S SUBJECT 1S OBJECT	Cacra-Hongos	man		m a + n	man			shimelman2017
406		ʃ u + n k i	337 528	3S SUBJECT 2S OBJECT	Cacra-Hongos	shunki		ʃ u + n k i	shunki			shimelman2017
407		n	546	3S VERBAL	Cacra-Hongos	n		n	n			shimelman2017
408		p a q - -	1	ABLATIVE	Cacra-Hongos	paq		p a q	paq			shimelman2017
409		- ʃ i	598	ACCOMPANIMENT	Cacra-Hongos	shi		ʃ i	shi,si			shimelman2017
410		- s i	598	ACCOMPANIMENT	Cacra-Hongos	si		s i	shi,si			shimelman2017
411		k t a	10	ACCUSATIVE	Cacra-Hongos	kta		k t a	kta			shimelman2017
412		p i s	639	ADDITIVE	Cacra-Hongos	pis		p i s	pis,s			shimelman2017
414		q	674	AGENTIVE	Cacra-Hongos	q		q	q			shimelman2017
415		p a q -	720	BENEFACTIVE	Cacra-Hongos	paq		p a q	paq			shimelman2017
416		tʃ i	766	CAUSATIVE	Cacra-Hongos	chi		tʃ i	chi			shimelman2017
418		m u	800	CISLOCATIVE	Cacra-Hongos	mu		m u	mu			shimelman2017
419		h i n a -	824	COMPARATIVE	Cacra-Hongos	hina		h i n a	hina			shimelman2017
420		m a n	853	CONDITIONAL	Cacra-Hongos	man		m a n	man			shimelman2017
421		ɾ a q -	877	CONTINUATIVE	Cacra-Hongos	raq		ɾ a q	raq			shimelman2017
422		m a n	911	DATIVE/ILATIVE	Cacra-Hongos	man		m a n	man			shimelman2017
423		n a j a	939	DESIDERATIVE	Cacra-Hongos	naya		n a j a	naya			shimelman2017
424		ɾ a j a	968	DETRANSITIVIZER	Cacra-Hongos	raya		ɾ a j a	raya			shimelman2017
425		- - tʃ a -	976	DIMINUTIVE	Cacra-Hongos	cha		tʃ a	cha			shimelman2017
426		ɲ a	1019	DISCONTINUATIVE	Cacra-Hongos	ña		ɲ a	ña			shimelman2017
427		tʃ u	1029	DISJUNCTIVE	Cacra-Hongos	chu		tʃ u	chu			shimelman2017
428		tʃ ai	1036	DISTAL DEMONSTRATIVE	Cacra-Hongos	chay		tʃ ai	chay			shimelman2017
429		w a k	1046	DISTAL REMOVED DEMONSTRATIVE	Cacra-Hongos	wak		w a k	wak			shimelman2017
431		- - j - - a	16	PROGRESSIVE	Cacra-Hongos	ya		j a	ya			shimelman2017
432		a l i	1095	EMPHATIC	Cacra-Hongos	ali		a l i	ali			shimelman2017
433		j a	20	INTENSIFIER	Cacra-Hongos	ya		j a	ya			shimelman2017
434		ʈ i - -	18	EVIDENTIAL CONJECTURAL	Cacra-Hongos	tri		ʈ i	tri,tr			shimelman2017
435		ʈ - - -	18	EVIDENTIAL CONJECTURAL	Cacra-Hongos	tr		ʈ	tri,tr			shimelman2017
436		m i	1157	EVIDENTIAL DIRECT	Cacra-Hongos	mi		m i	mi,m			shimelman2017
437		m -	1157	EVIDENTIAL DIRECT	Cacra-Hongos	m		m	mi,m			shimelman2017
438		i k	1184	EVIDENTIAL MODIFIER	Cacra-Hongos	ik		i k	ik			shimelman2017
439		i k i	1191	EVIDENTIAL MODIFIER (STRONGEST)	Cacra-Hongos	iki		i k i	iki			shimelman2017
440		ʃ - i	1198	EVIDENTIAL REPORTATIVE	Cacra-Hongos	shi		ʃ i	shi,sh			shimelman2017
441		ʃ - -	1198	EVIDENTIAL REPORTATIVE	Cacra-Hongos	sh		ʃ	shi,sh			shimelman2017
442		i - k u	1228	EXCEPTIONAL	Cacra-Hongos	yku		i k u	yku,yka/ika/iku			shimelman2017
443		i - k a	1228	EXCEPTIONAL	Cacra-Hongos	yka		i k a	yku,yka/ika/iku			shimelman2017
444		- i k a	1228	EXCEPTIONAL	Cacra-Hongos	ika		i k a	yku,yka/ika/iku			shimelman2017
445		- i k u	1228	EXCEPTIONAL	Cacra-Hongos	iku		i k u	yku,yka/ika/iku			shimelman2017
446		p u ɾ a	1256	EXCLUSIVE	Cacra-Hongos	pura		p u ɾ a	pura			shimelman2017
447		tʃ a -	1272	FACTIVE	Cacra-Hongos	cha		tʃ a	cha			shimelman2017
448		- k a ʈ a	1295	FREQUENTIVE	Cacra-Hongos	katra		k a ʈ a	katra			shimelman2017
449		p a -	1315	GENITIVE	Cacra-Hongos	pa		p a	pa,pi			shimelman2017
450		p i -	1315	GENITIVE	Cacra-Hongos	pi		p i	pa,pi			shimelman2017
451		i - -	1362	IMPERATIVE	Cacra-Hongos	y		i	y			shimelman2017
452		ɾ i	1397	INCEPTIVE	Cacra-Hongos	ri		ɾ i	ri			shimelman2017
453		j a -	1419	INCHOATIVE	Cacra-Hongos	ya		j a	ya			shimelman2017
454		n - - t i n	1443	INCLUSIVE	Cacra-Hongos	ntin		n t i n	ntin			shimelman2017
455		i	1362	INFINITIVE	Cacra-Hongos	y		i	y			shimelman2017
456		tʃ u n - -	1486	INJUNCTIVE	Cacra-Hongos	chun		tʃ u n	chun			shimelman2017
457		w a n	1507	INSTRUMENTAL-COMITATIVE	Cacra-Hongos	wan		w a n	wan			shimelman2017
461		t a m u	1553	IRREVERSIBLE CHANGE	Cacra-Hongos	tamu		t a m u	tamu			shimelman2017
463		p aː k u	1561	JOINT ACTION	Cacra-Hongos	paːku		p aː k u	paku,paːku			shimelman2017
464		k a m a -	1578	LIMITATIVE	Cacra-Hongos	kama		k a m a	kama			shimelman2017
465		p a	1603	LOCATIVE	Cacra-Hongos	pa		p a	pa,pi			shimelman2017
466		p i	1603	LOCATIVE	Cacra-Hongos	pi		p i	pa,pi			shimelman2017
467		ʈ a w	1604	LOCATIVE	Cacra-Hongos	traw		ʈ a w	traw			shimelman2017
468		k u	1637	MIDDLE VOICE	Cacra-Hongos	ku		k u	ku		U	shimelman2017
469		s a p a	1656	MULTIPLE POSSESSIVE	Cacra-Hongos	sapa		s a p a	sapa			shimelman2017
470		p u k u	1676	MUTUAL BENEFIT	Cacra-Hongos	puku		p u k u	puku			shimelman2017
471		tʃ u	1682	NEGATION	Cacra-Hongos	chu		tʃ u	chu			shimelman2017
472		n - a	1711	NOMINALIZER NA	Cacra-Hongos	na		n a	na			shimelman2017
474		m a s - i	1746	PARTNERSHIP	Cacra-Hongos	masi		m a s i	masi			shimelman2017
475		k a -	1758	PASSIVE ACCIDENTAL	Cacra-Hongos	ka		k a	ka			shimelman2017
476		l q a	1770	PAST TENSE	Cacra-Hongos	lqa		l q a	lqa			shimelman2017
477		ʃ - a	1800	PERFECT	Cacra-Hongos	sha		ʃ a	sha,sa			shimelman2017
478		s - a	1800	PERFECT	Cacra-Hongos	sa		s a	sha,sa			shimelman2017
479		ʃ - a	1800	PERFECTIVIZER	Cacra-Hongos	sha		ʃ a	sha,sa		nmlz	shimelman2017
480		s - a	1800	PERFECTIVIZER	Cacra-Hongos	sa		s a	sha,sa		nmlz	shimelman2017
481		k u n a	1855	PLURAL	Cacra-Hongos	kuna		k u n a	kuna			shimelman2017
482		- - j o q	1887	POSSESSIVE	Cacra-Hongos	yuq		j o q	yuq			shimelman2017
483		a m a	1918	PROHIBITIVE	Cacra-Hongos	ama		a m a	ama			shimelman2017
484		k ai	1927	PROXIMAL DEMONSTRATIVE	Cacra-Hongos	kay		k ai	kay			shimelman2017
486		ɾ ai k u	1948	REASON	Cacra-Hongos	rayku		ɾ ai k u	rayku			shimelman2017
487		n a k u	1976	RECIPROCAL	Cacra-Hongos	naku		n a k u	naku,naka			shimelman2017
488		n a k a	1976	RECIPROCAL	Cacra-Hongos	naka		n a k a	naku,naka			shimelman2017
489		p a - -	2008	REPETITIVE	Cacra-Hongos	pa		p a	pa			shimelman2017
490		ʃ q a	2021	REPORTATIVE PAST TENSE	Cacra-Hongos	shqa		ʃ q a	shqa			shimelman2017
491		ʎ - a	2039	RESTRICTIVE	Cacra-Hongos	lla		ʎ a	lla			shimelman2017
492		t a q	2063	SEQUENTIAL	Cacra-Hongos	taq		t a q	taq			shimelman2017
493		t u k u	2082	SIMULATIVE	Cacra-Hongos	tuku		t u k u	tuku			shimelman2017
494		ʃ t i n	2097	SUBORDINATOR ADVERBIAL	Cacra-Hongos	shtin		ʃ t i n	shtin			shimelman2017
495		ʃ p a - - -	2113	SUBORDINATOR IDSUB	Cacra-Hongos	shpa		ʃ p a	shpa			shimelman2017
496		p t i -	2144	SUBORDINATOR DIFFSUB	Cacra-Hongos	pti		p t i	pti			shimelman2017
497		q a	2178	TOPIC	Cacra-Hongos	qa		q a	qa			shimelman2017
498		p u	2201	VERBAL BENEFACTIVE	Cacra-Hongos	pu		p u	pu,pa			shimelman2017
499		p a	2201	VERBAL BENEFACTIVE	Cacra-Hongos	pa		p a	pu,pa			shimelman2017
500		l a	11	UNINTERRUPTED ACTION	Cacra-Hongos	la		l a	la			shimelman2017
501		n a	2270	VERBALIZER	Cacra-Hongos	na		n a	na		some reciprocal action	shimelman2017
502		w a	3	1 OBJECT	Cajamarca	wa		w a	wa		also 3>1	quesada2006
503		j - k i	24	1S SUBJECT 2S OBJECT	Cajamarca	yki		j k i	yki			quesada2006
505		n tʃ i k	58	1PL POSSESSOR	Cajamarca	nchik		n tʃ i k	nchik			quesada2006
506		- - n tʃ i k	58	1PL VERBAL	Cajamarca	nchik		n tʃ i k	nchik			quesada2006
507		ʃ - u n - - - -	111	1PL VERBAL FUTURE	Cajamarca	shun		ʃ u n	shun			quesada2006
508		t a n t a + j	155 156	1S POSSESSOR	Cajamarca	tanta-y		t a n t a + j	tanta-y			quesada2006
509		s - - - - u - - - + χ	111 280	1S SUBJECT 2S OBJECT FUTURE	Cajamarca	su q		s u + χ	su q			quesada2006
510		k a + n i	234 235	1S VERBAL	Cajamarca	ka-ni		k a + n i	ka-ni			quesada2006
511		ʃ χ a -	280	1S VERBAL FUTURE	Cajamarca	shqa		ʃ χ a	shqa			quesada2006
512		j k i	348	2S POSSESSOR	Cajamarca	yki		j k i	yki			quesada2006
513		n - k i	370	2S VERBAL	Cajamarca	nki		n k i	nki			quesada2006
514		n χ a	446	3S FUTURE	Cajamarca	nqa		n χ a	nqa			quesada2006
515		n	466	3S POSSESSOR	Cajamarca	n		n	n			quesada2006
516		n	546	3S VERBAL	Cajamarca	n		n	n			quesada2006
517		m a n t a	571	ABLATIVE	Cajamarca	manta		m a n t a	manta			quesada2006
518		- t a	614	ACCUSATIVE	Cajamarca	ta		t a	ta			quesada2006
519		p i s	639	ADDITIVE	Cajamarca	pis		p i s	pis			quesada2006
520		n t i	1443	INCLUSIVE	Cajamarca	nti		n t i	nti			quesada2006
521		χ	674	AGENTIVE	Cajamarca	q		χ	q			quesada2006
522		p a χ -	720	BENEFACTIVE	Cajamarca	paq		p a χ	paq			quesada2006
523		tʃ k a	748	BETTER	Cajamarca	chka		tʃ k a	chka		“I better run”	quesada2006
524		t a - χ	754	INTERROGATION	Cajamarca	taq		t a χ	taq			quesada2006
525		tʃ i	766	CAUSATIVE	Cajamarca	chi		tʃ i	chi			quesada2006
526		m u	800	CISLOCATIVE	Cajamarca	mu		m u	mu			quesada2006
527		ʃ i n a -	824	COMPARATIVE	Cajamarca	shina		ʃ i n a	shina			quesada2006
528		m a n	853	CONDITIONAL	Cajamarca	man		m a n	man			quesada2006
529		ɾ a χ -	877	CONTINUATIVE	Cajamarca	raq		ɾ a χ	raq			quesada2006
530		m a n	911	DATIVE/ILATIVE	Cajamarca	man		m a n	man			quesada2006
531		n a - -	939	DESIDERATIVE	Cajamarca	na		n a	na			quesada2006
532		- i j - - a	16	PROGRESSIVE	Cajamarca	iya		i j a	iya			quesada2006
533		- ɾ i	1095	EMPHATIC	Cajamarca	ri		ɾ i	ri			quesada2006
534		tʃ i - -	18	EVIDENTIAL CONJECTURAL	Cajamarca	chi		tʃ i	chi			quesada2006
535		m i	1157	EVIDENTIAL DIRECT	Cajamarca	mi		m i	mi			quesada2006
536		ʃ - i	1198	EVIDENTIAL REPORTATIVE	Cajamarca	shi		ʃ i	shi			quesada2006
537		p u ɾ a	1256	EXCLUSIVE	Cajamarca	pura		p u ɾ a	pura			quesada2006
538		tʃ a -	1272	FACTIVE	Cajamarca	cha		tʃ a	cha			quesada2006
539		- k a tʃ a	1295	FREQUENTIVE	Cajamarca	kacha		k a tʃ a	kacha			quesada2006
540		p a -	1315	GENITIVE	Cajamarca	pa		p a	pa			quesada2006
542		i - -	1362	IMPERATIVE	Cajamarca	y		i	y			quesada2006
543		ɾ i	1397	REPETITIVE	Cajamarca	ri		ɾ i	ri			quesada2006
544		j a -	1419	INCHOATIVE	Cajamarca	ya		j a	ya			quesada2006
545		i	1362	INFINITIVE	Cajamarca	y		i	y			quesada2006
546		w a n	1507	INSTRUMENTAL-COMITATIVE	Cajamarca	wan		w a n	wan			quesada2006
547		k a m a n	1578	LIMITATIVE	Cajamarca	kaman		k a m a n	kaman			quesada2006
548		p i	1603	LOCATIVE	Cajamarca	pi		p i	pi			quesada2006
549		k u	1637	MIDDLE VOICE	Cajamarca	ku		k u	ku		U	quesada2006
550		s a p a	1656	MULTIPLE POSSESSIVE	Cajamarca	sapa		s a p a	sapa			quesada2006
551		tʃ u	1682	NEGATION	Cajamarca	chu		tʃ u	chu			quesada2006
552		n - a	1711	NOMINALIZER NA	Cajamarca	na		n a	na			quesada2006
553		m a s - i	1746	PARTNERSHIP	Cajamarca	masi		m a s i	masi			quesada2006
554		ɾ χ a	1770	PAST TENSE	Cajamarca	rqa		ɾ χ a	rqa, ra			quesada2006
555		ɾ - a	1770	PAST TENSE	Cajamarca	ra		ɾ a	rqa, ra			quesada2006
556		s χ a	1800	PERFECT	Cajamarca	sqa		s χ a	sqa, a			quesada2006
557		a	1800	PERFECT	Cajamarca	a		a	sqa, a			quesada2006
558		s χ a	1800	PERFECTIVIZER	Cajamarca	sqa		s χ a	sqa			quesada2006
559		k u n a	1855	PLURAL	Cajamarca	kuna		k u n a	kuna			quesada2006
560		- - j u χ	1887	POSSESSIVE	Cajamarca	yuq		j u χ	yuq			quesada2006
561		ɾ ai k u	1948	REASON	Cajamarca	rayku		ɾ ai k u	rayku			quesada2006
562		n a - -	1976	RECIPROCAL	Cajamarca	na		n a	na			quesada2006
563		ʎ - a	2039	RESTRICTIVE	Cajamarca	lla		ʎ a	lla		solamente,  nomás	quesada2006
564		t a χ	2063	SEQUENTIAL	Cajamarca	taq		t a χ	taq			quesada2006
565		- - t i	32	SIMULATIVE	Cajamarca	ti		t i	ti			quesada2006
566		ʃ t i -	2097	SUBORDINATOR ADVERBIAL	Cajamarca	shti		ʃ t i	shti		“acción que es columinación de otra”	quesada2006
567		ʃ p a - - -	2113	SUBORDINATOR IDSUB	Cajamarca	shpa		ʃ p a	shpa			quesada2006
568		p t i -	2144	SUBORDINATOR DIFFSUB	Cajamarca	pti		p t i	pti			quesada2006
569		χ a	2178	TOPIC	Cajamarca	qa		χ a	qa			quesada2006
570		p a	2201	VERBAL BENEFACTIVE	Cajamarca	pa		p a	pa			quesada2006
571		n a	2270	VERBALIZER	Cajamarca	na		n a	na			quesada2006
572		w a	3	1 OBJECT	Chachapoyas	wa		w a	wa			taylor1979
573		j - k i	24	1S SUBJECT 2S OBJECT	Chachapoyas	yki		j k i	yki			taylor1979
574		n tʃ i	58	1PL POSSESSOR	Chachapoyas	nči		n tʃ i	nči			taylor1979
575		ʃ u n + tʃ i	111 58	1PL VERBAL FUTURE	Chachapoyas	šunči		ʃ u n + tʃ i	šunči			taylor1979
576		t a n t a + j	155 156	1S POSSESSOR	Chachapoyas	tanta-y		t a n t a + j	tanta-y			taylor1979
577		k a + n i	234 235	1S VERBAL	Chachapoyas	ka-ni		k a + n i	ka-ni			taylor1979
578		ʃ - a -	280	1S VERBAL FUTURE	Chachapoyas	ša		ʃ a	ša			taylor1979
579		i k i	348	2S POSSESSOR	Chachapoyas	yki		i k i	yki			taylor1979
580		n - k i	370	2S VERBAL	Chachapoyas	nki		n k i	nki			taylor1979
581		n	466	3S POSSESSOR	Chachapoyas	n		n	n			taylor1979
583		m a n t a	571	ABLATIVE	Chachapoyas	manta		m a n t a	manta			taylor1979
584		- t a	614	ACCUSATIVE	Chachapoyas	ta		t a	ta			taylor1979
585		k	674	AGENTIVE	Chachapoyas	k		k	k			taylor1979
586		j u p a j	704	ASSIMILATIVE	Chachapoyas	yupay		j u p a j	yupay, šina			taylor1979
587		ʃ i n a	705	ASSIMILATIVE	Chachapoyas	šina		ʃ i n a	yupay, šina			taylor1979
588		p a - -	720	BENEFACTIVE	Chachapoyas	pa		p a	pa		same as genitive	taylor1979
589		tʃ i	766	CAUSATIVE	Chachapoyas	či		tʃ i	či			taylor1979
590		m u	800	CISLOCATIVE	Chachapoyas	mu		m u	mu			taylor1979
591		m a n	853	CONDITIONAL	Chachapoyas	man		m a n	man			taylor1979
592		m a n	911	DATIVE/ILATIVE	Chachapoyas	man		m a n	man			taylor1979
593		n a j a	939	DESIDERATIVE	Chachapoyas	naya		n a j a	naya			taylor1979
594		- i k - - a	16	PROGRESSIVE	Chachapoyas	yka		i k a	yka			taylor1979
595		tʃ a - -	18	EVIDENTIAL CONJECTURAL	Chachapoyas	ča		tʃ a	ča			taylor1979
596		m i	1157	EVIDENTIAL DIRECT	Chachapoyas	mi		m i	mi			taylor1979
597		ʃ - i	1198	EVIDENTIAL REPORTATIVE	Chachapoyas	ši		ʃ i	ši			taylor1979
598		p u r a	1256	EXCLUSIVE	Chachapoyas	pura		p u r a	pura		„only men“	taylor1979
599		tʃ a -	1272	FACTIVE	Chachapoyas	ča		tʃ a	ča		to make	taylor1979
600		p a -	1315	GENITIVE	Chachapoyas	pa		p a	pa			taylor1979
601		i - -	1362	IMPERATIVE	Chachapoyas	y		i	y			taylor1979
602		r i	1397	INCEPTIVE	Chachapoyas	ri		r i	ri			taylor1979
603		j a -	1419	INCHOATIVE	Chachapoyas	ya		j a	ya			taylor1979
604		n - - t i n	1443	INCLUSIVE	Chachapoyas	ntin		n t i n	ntin			taylor1979
605		i	1362	INFINITIVE	Chachapoyas	y		i	y			taylor1979
606		tʃ u n - -	1486	INJUNCTIVE	Chachapoyas	čun		tʃ u n	čun			taylor1979
607		w a n	1507	INSTRUMENTAL-COMITATIVE	Chachapoyas	wan		w a n	wan			taylor1979
608		k a m a n	1578	LIMITATIVE	Chachapoyas	kaman		k a m a n	kaman			taylor1979
609		p i	1603	LOCATIVE	Chachapoyas	pi		p i	pi			taylor1979
610		k u	1637	MIDDLE VOICE	Chachapoyas	ku		k u	ku			taylor1979
611		s a p a	1656	MULTIPLE POSSESSIVE	Chachapoyas	sapa		s a p a	sapa			taylor1979
612		tʃ u	1682	NEGATION	Chachapoyas	ču		tʃ u	ču			taylor1979
613		n - a	1711	NOMINALIZER NA	Chachapoyas	na		n a	na			taylor1979
614		r k a	1770	PAST TENSE	Chachapoyas	rka		r k a	rka			taylor1979
615		ʃ k a	1800	PERFECT	Chachapoyas	ška		ʃ k a	ška			taylor1979
616		ʃ k a	1800	PERFECTIVIZER	Chachapoyas	ška		ʃ k a	ška			taylor1979
617		k u n a	1855	PLURAL	Chachapoyas	kuna		k u n a	kuna			taylor1979
618		- - j u k	1887	POSSESSIVE	Chachapoyas	yuk		j u k	yuk			taylor1979
619		ɾ ai k u	1948	REASON	Chachapoyas	rayku		ɾ ai k u	rayku			taylor1979
620		n a k u	1976	RECIPROCAL	Chachapoyas	naku		n a k u	naku			taylor1979
621		ʎ a	2039	RESTRICTIVE	Chachapoyas	lla		ʎ a	lla			taylor1979
622		ʃ p a - - -	2113	SUBORDINATOR IDSUB	Chachapoyas	špa		ʃ p a	špa, šnin, štin		no distinguishing wrt adverbial subord	taylor1979
623		ʃ n i n	2097	SUBORDINATOR ADVERBIAL	Chachapoyas	šnin		ʃ n i n	špa, šnin, štin			taylor1979
624		ʃ t i n	2097	SUBORDINATOR ADVERBIAL	Chachapoyas	štin		ʃ t i n	špa, šnin, štin			taylor1979
625		p t i -	2144	SUBORDINATOR DIFFSUB	Chachapoyas	pti		p t i	pti			taylor1979
626		q a	2178	TOPIC	Chachapoyas	qa		q a	qa, ta			taylor1979
627		t a	2179	TOPIC	Chachapoyas	ta		t a	qa, ta		ta: formas interrogatives, en Lamas más amplio también	taylor1979
628		p u	2201	VERBAL BENEFACTIVE	Chachapoyas	pu		p u	pu			taylor1979
629		r a	11	UNINTERRUPTED ACTION	Chachapoyas	ra		r a	ra			taylor1979
630		- s a p a	2263	VERBAL PLURAL	Chachapoyas	sapa		s a p a	sapa			taylor1979
631		w a	3	1 OBJECT	Chimborazo	wa		w a	wa		This suffix indicates that the speaker is either the patient or the receiver of the action of the verb. If the verb is ditransitive, the speaker is receiver, not patient: /saki-wa-y/, leave-REC-IMP, ‘let me go’.	beukema1975
632		- - n tʃ i k	58	1PL VERBAL	Chimborazo	ncik		n tʃ i k	ncik			beukema1975
633		ʃ u n + tʃ i k	111 58	1PL VERBAL FUTURE	Chimborazo	šuncik		ʃ u n + tʃ i k	šuncik			beukema1975
634		k a + n i	234 235	1S VERBAL	Chimborazo	ka-ni		k a + n i	ka-ni			beukema1975
635		ʃ - a -	280	1S VERBAL FUTURE	Chimborazo	ša		ʃ a	ša			beukema1975
637		n - g i	370	2S VERBAL	Chimborazo	ngi		n g i	ngi			beukema1975
638		n g a k u n a	428	3PL FUTURE	Chimborazo	ngakuna		n g a k u n a	ngakuna			beukema1975
640		n g a	446	3S FUTURE	Chimborazo	nga		n g a	nga			beukema1975
641		n	546	3S VERBAL	Chimborazo	n		n	n			beukema1975
642		m a n t a	571	ABLATIVE	Chimborazo	manta		m a n t a	manta			beukema1975
643		- t a	614	ACCUSATIVE	Chimborazo	ta		t a	ta			beukema1975
